"","cntry","age","2023","2024","2025","2026","2027","2028"
"1","KEN",0,152.163730380121,143.907266750559,141.602685197064,152.332143968552,150.579622949549,156.914621375192
"2","KEN",1,155.582794894804,151.309874217536,142.833306675474,147.791248923067,145.638046922393,152.739828861157
"3","KEN",2,149.680371721427,145.85448295523,152.210660105813,147.037843523148,152.401372790801,149.098797391862
"4","KEN",3,149.39084197982,150.698979214673,147.998268957902,147.892394020331,166.943556142718,149.883425291883
"5","KEN",4,149.014629278082,151.339806534518,149.179143663111,155.439053539311,155.909678145701,154.124338901626
"6","AGO",0,152.339066880617,149.306943508716,139.865452227651,139.895810719151,152.983604774099,149.249627163264
"7","AGO",1,146.859574314376,150.259226977656,140.596247484488,154.356397255265,152.286810064877,138.522003518376
"8","AGO",2,154.562284428927,152.147469710896,149.831104489879,139.920672219082,148.257641213932,155.1865987809
"9","AGO",3,144.751816488915,155.445754489942,155.334950703174,157.317443645367,152.886560332748,150.547268796519
"10","AGO",4,150.118356081603,148.159008373345,148.140085493797,155.865284967343,142.422107019533,155.845867807498
"11","ZWE",0,145.682122046639,147.145422585812,150.594604025655,156.572485234891,152.718122452379,154.087624482386
"12","ZWE",1,149.568997445579,148.566132762788,137.468369219769,150.749964880051,145.906670849095,152.694546669622
"13","ZWE",2,146.867260579555,154.198520493206,152.952500323927,148.951951407271,150.864787770946,137.243781430039
"14","ZWE",3,156.216458426385,147.259671175341,139.107637706822,155.776992563234,151.157707424895,146.560785848583
"15","ZWE",4,148.679859056619,141.457429246171,152.19586003714,157.146706910958,146.665928805471,138.975481904205
